gate,hc_hi,lc_lo,hc,lc,hc_benefit_%,lc_degr_%
1/30,1,30,36962.864721,93435.378369,0.008610668962942955,-0.00018105207756698497
1/50,1,50,37120.0,94695.485544,-0.41646933981688633,1.3484568145914198
1/999999,1,999999,37014.941302,94851.414027,-0.1322661198115481,1.5153402835837029
4/30,4,30,36964.456233,93435.491147,0.004305334481481318,-6.035069252751975e-05
4/50,4,50,37108.266667,94518.702118,-0.38472850270891196,1.1592532077608597
4/999999,4,999999,36293.899204,93761.597214,1.8182861896317184,0.34895677993899626
8/30,8,30,36966.047745,93435.547536,0.0,0.0
8/50,8,50,36966.047745,93435.547536,0.0,0.0
8/999999,8,999999,36966.047745,93435.547536,0.0,0.0
