lc_rate,hc_iso,hc_merge,hc_benefit_%,lc_iso,lc_merge,lc_degr_%
0.1GiB/s,27143.239267,26806.149231,1.2418931752549747,32129.964071,34065.456533,6.0239484168827415
0.5GiB/s,27353.648863,26975.556763,1.38223643175966,32983.77516,32882.758408,-0.3062619470026605
1GiB/s,28097.491226,27593.774119,1.7927476262858744,34048.796316,34252.478205,0.5982058429016669
2GiB/s,26780.403135,26997.718814,-0.811472769489358,33977.009683,34735.646297,2.232793942368559
4GiB/s,27462.459466,27023.246804,1.599320201250622,34572.363687,34545.974838,-0.07632931678871063
