lc,hc_iso,hc_merge,hc_benefit_%,lc_degr_%
0.5GiB/s,36598.166729,33990.402075,7.125396944906625,0.5586270978327218
1GiB/s,36810.368824,34213.705526,7.054162674694529,0.36017880265014574
2GiB/s,36018.974864,33447.956071,7.1379565984529645,0.39865374872580467
4GiB/s,35861.404527,32631.819916,9.005739327829307,2.752183463328979
